sf,,数量,購入場所,価格(税込),備考
ANYCUBIC PLA樹脂 1.75mm フィラメント シルバー,, 146 g,Amazon,¥423,"1kg ¥2,899
サムターンマウンタ: 20g
サーボモータ固定マウンタ: 44g
制御基板ステージ: 31g
制御基板ステージ蓋: 13g
T-cameraマウント: 14g
ケーブルフック: 6g x 4"
Raspberry Pi Zero WH,,1,Raspberry Pi Shop by KSY,"¥1,848",送料 ¥550
MG996R,,1,Amazon,"¥1,450","送料 ¥200
データシート:
https://akizukidenshi.com/download/ds/towerpro/mg996r.pdf"
TTGO T-Camera ESP32 WROVER & PSRAM Camera Module,,1,Amazon,"¥2,300",
三端子レギュレーター Ｌ７８０６ＣＶ,,1,秋月電子,¥25,"出力 ６Ｖ１．５Ａ
データシート:
https://akizukidenshi.com/download/ds/st/l78.pdf"
Nch MOS-FET INK021ABS1-T112,,1,秋月電子,¥70,"VDSS=100V ID=1.4A
Vth=1.0~2.5V RDS=200mΩ
データシート:
https://akizukidenshi.com/download/ds/isahaya/INK021ABS1_J.pdf"
"        
ブレッドボード用ＤＣジャックＤＩＰ化キット",,1,秋月電子,¥100,
小型３Ｐトグルスイッチ,,1,秋月電子,¥80,
積層セラミックコンデンサー　0.1μF 50V,,1,いただきもの,¥0,
積層セラミックコンデンサー　0.033μF 50V,,1,秋月電子,¥10,"手違いでこちらを使用
動作には影響なし。"
５ｍｍ黄緑色ＬＥＤ　５７０ｎｍ　ＯＳＮＧ５１１３Ａ,,1,秋月電子,¥5,
抵抗器 10Ω,,1,その辺に転がってた,¥0,金属皮膜抵抗？
抵抗器 100Ω,,1,その辺に転がってた,¥0,金属皮膜抵抗？
抵抗器 10kΩ,,1,その辺に転がってた,¥0,金属皮膜抵抗？
ピンヘッダ,,2,その辺に転がってた,¥0,
メス-メス ジャンパーワイヤ,,3,秋月電子,¥99,10本入り ¥330
片面ガラスコンポジット・ユニバーサル基板,,1,秋月電子,¥60,
9V 2A ACアダプタ,,1,いただきもの,¥0,
DCプラグ付ケーブル,,1,いただきもの,¥0,
microUSBケーブル,,2,その辺に転がってた,¥0,
USB ACアダプタ,,1,その辺に転がってた,¥0,
延長ケーブル,,1,ホームセンター,¥712,3m
ネジ M3,,1,ホームセンター,¥8,
ネジ M2.6,,4,その辺に転がってた,¥0,
ネオジム磁石,,10,ダイソー,¥330,小: 6個 中: 4個
モバイルバッテリー,,1,その辺に転がってた,¥0,20000mAh
3M コマンドタブ,,1,ホームセンター,¥17,
,,,,,
合計,,"¥7,537",,,